time,temp,humidity
18:02:25,12.00,24.00
18:02:27,12.00,25.00
18:02:29,12.00,25.00
18:02:31,12.00,24.00
18:02:33,12.00,24.00
18:02:35,12.00,24.00
18:02:37,12.00,25.00
18:02:40,12.00,24.00
18:02:42,12.00,24.00
18:02:44,12.00,25.00
18:02:46,12.00,24.00
18:02:48,12.00,24.00
18:02:50,12.00,25.00
18:02:52,12.00,24.00
18:02:54,12.00,25.00
18:02:56,12.00,24.00
18:02:58,12.00,24.00
18:03:00,12.00,25.00
18:03:02,12.00,25.00
18:03:04,12.00,25.00
18:03:06,12.00,24.00
18:03:08,12.00,25.00
18:03:10,12.00,25.00
18:03:12,12.00,25.00
18:03:14,12.00,24.00
18:03:16,12.00,25.00
18:03:18,12.00,24.00
18:03:20,12.00,25.00
18:03:22,12.00,24.00
18:03:24,12.00,24.00
18:03:26,12.00,25.00
18:03:29,12.00,25.00
18:03:31,12.00,24.00
18:03:33,12.00,25.00
18:03:35,12.00,24.00
18:03:37,12.00,25.00
18:03:39,11.00,24.00
18:03:41,11.00,25.00
18:03:43,11.00,25.00
18:03:45,11.00,25.00
18:03:47,11.00,25.00
18:03:49,11.00,25.00
18:03:51,11.00,25.00
18:03:53,11.00,25.00
18:03:55,11.00,25.00
18:03:57,11.00,25.00
18:03:59,11.00,25.00
18:04:01,11.00,25.00
18:04:03,11.00,25.00
18:04:05,11.00,25.00
18:04:07,11.00,25.00
18:04:09,11.00,25.00
18:04:11,11.00,25.00
18:04:13,11.00,25.00
18:04:15,11.00,25.00
18:04:18,11.00,25.00
18:04:20,11.00,24.00
18:04:22,11.00,25.00
18:04:24,11.00,25.00
18:04:26,11.00,25.00
18:04:28,11.00,24.00
18:04:30,11.00,25.00
18:04:32,11.00,25.00
18:04:34,11.00,25.00
18:04:36,11.00,25.00
18:04:38,11.00,25.00
18:04:40,11.00,25.00
18:04:42,11.00,25.00
18:04:44,11.00,25.00
18:04:46,11.00,25.00
18:04:48,11.00,25.00
18:04:50,11.00,25.00
18:04:52,11.00,25.00
18:04:54,11.00,25.00
18:04:56,11.00,25.00
18:04:58,11.00,25.00
18:05:00,11.00,25.00
18:05:02,11.00,25.00
18:05:04,11.00,25.00
18:05:07,11.00,25.00
18:05:09,11.00,25.00
18:05:11,11.00,25.00
